Code Word,Size,Stranding,Ind. Diam - Al,Ind. Diam - St,Diam - Stl Core,Diam - Complete Cable,Weight per 1000 ft - Al,Weight per 1000 ft - Stl,Weight per 1000 ft - Total,% Al,% Stl,Rated Strength,Resistance DC @Low degc,Resistance AC @High degc,Low Temp,High Temp,Meters per Resistance Interval,Allowable Ampacity,Type
Flicker/ACSS,477,24/7,0.141,0.094,0.2819,0.846,449.3,164.4,613.7,13000,14200,16400,0.0348,0.0429,20,75,304.8,1180,ACSS
Hawk/ACSS,477,26/7,0.1354,0.1053,0.316,0.858,449.3,206.5,655.8,15600,17100,19800,0.0346,0.0427,20,75,304.8,1188,ACSS
Hen/ACSS,477,30/7,0.1261,0.1261,0.3783,0.883,450.4,295.9,746.3,21000,22700,26700,0.0344,0.0424,20,75,304.8,1204,ACSS
Parakeet/ACSS,556.5,24/7,0.1523,0.1015,0.3045,0.914,524,192,716,15200,16600,19100,0.0298,0.0368,20,75,304.8,1306,ACSS
Dove/ACSS,556.5,26/7,0.1463,0.1138,0.3413,0.927,524.2,240.9,765.1,18200,19900,23200,0.0297,0.0366,20,75,304.8,1315,ACSS
Eagle/ACSS,556.5,30/7,0.1362,0.1362,0.4086,0.953,525.4,345.2,870.6,24500,26500,31100,0.0295,0.0363,20,75,304.8,1331,ACSS
Peacock/ACSS,605,24/7,0.1588,0.1058,0.3175,0.953,569.8,208.5,778.3,16500,18100,20800,0.0274,0.0339,20,75,304.8,1379,ACSS
Squab/ACSS,605,26/7,0.1525,0.1186,0.3559,0.966,569.8,261.9,831.7,19700,21300,25200,0.0273,0.0337,20,75,304.8,1389,ACSS
Wood Duck/ACSS,605,30/7,0.142,0.142,0.426,0.994,571.2,375.3,946.5,26000,28300,33300,0.0271,0.0334,20,75,304.8,1407,ACSS
Teal/ACSS,605,30/19,0.142,0.0852,0.426,0.994,571.2,367.4,938.6,26600,29300,34800,0.0272,0.0335,20,75,304.8,1406,ACSS
Rook/ACSS,636,24/7,0.1628,0.1085,0.3256,0.977,599,219.2,818.2,17300,19000,21900,0.0261,0.0322,20,75,304.8,1425,ACSS
Grosbeak/ACSS,636,26/7,0.1564,0.1216,0.3649,0.991,599,275.4,874.4,20700,22400,26000,0.026,0.0321,20,75,304.8,1435,ACSS
Scoter/ACSS,636,30/7,0.1456,0.1456,0.4368,1.019,600.5,394.5,995,27400,29700,35000,0.0258,0.0318,20,75,304.8,1454,ACSS
Egret/ACSS,636,30/19,0.1456,0.0874,0.4368,1.019,600.5,386.3,986.8,28000,30900,36600,0.0258,0.0319,20,75,304.8,1453,ACSS
Flamingo/ACSS,666.6,24/7,0.1667,0.1111,0.3333,1,627.9,229.7,857.6,18200,19900,22900,0.0249,0.0308,20,75,304.8,1470,ACSS
Gannet/ACSS,666.6,26/7,0.1601,0.1245,0.3736,1.014,627.8,288.6,916.4,21700,23400,27300,0.0248,0.0306,20,75,304.8,1480,ACSS
Stilt/ACSS,715.5,24/7,0.1727,0.1151,0.3453,1.036,673.9,246.5,920.4,19500,21300,24600,0.0232,0.0287,20,75,304.8,1540,ACSS
