CodeWord,Size,Stranding,IndDiamAl,IndDiamSt,DiamStlCore,DiamCompleteCable,Weightper1000ftAl,Weightper1000ftStl,Weightper1000ftTotal,Al,Stl,RatedStrength,ResistanceDCLowdegc,ResistanceACHighdegc,LowTemp,HighTemp,MetersperResistanceInterval,AllowableAmpacity,Type,ResistanceACLowdegc,ResistanceACLowdegcMeter,ResistanceACHighdegcMeter,simulated,convergeCurrent,lowestRise,convergenceOrder,Cmax,Cmin
Squab/ACSS,605,26/7,0.1525,0.1186,0.3559,0.966,569.8,261.9,831.7,19700,21300,25200,0.0273,0.0337,20,75,304.8,1389,ACSS,0.0273,8.96E-05,0.000110564,1,0.01,0.049780895,2.167288004,0.156481031,1.10E-08
Wood Duck/ACSS,605,30/7,0.142,0.142,0.426,0.994,571.2,375.3,946.5,26000,28300,33300,0.0271,0.0334,20,75,304.8,1407,ACSS,0.0271,8.89E-05,0.00010958,1,0.01,0.049420074,2.166586235,0.15652386,7.02E-09
Teal/ACSS,605,30/19,0.142,0.0852,0.426,0.994,571.2,367.4,938.6,26600,29300,34800,0.0272,0.0335,20,75,304.8,1406,ACSS,0.0272,8.92E-05,0.000109908,1,0.01,0.049574658,2.166527295,0.156515564,7.31E-09
Rook/ACSS,636,24/7,0.1628,0.1085,0.3256,0.977,599,219.2,818.2,17300,19000,21900,0.0261,0.0322,20,75,304.8,1425,ACSS,0.0261,8.56E-05,0.000105643,1,0.01,0.04958434,2.166971029,0.156429755,2.45E-08
Grosbeak/ACSS,636,26/7,0.1564,0.1216,0.3649,0.991,599,275.4,874.4,20700,22400,26000,0.026,0.0321,20,75,304.8,1435,ACSS,0.026,8.53E-05,0.000105315,1,0.01,0.049342671,2.166476416,0.156405625,1.46E-08
Scoter/ACSS,636,30/7,0.1456,0.1456,0.4368,1.019,600.5,394.5,995,27400,29700,35000,0.0258,0.0318,20,75,304.8,1454,ACSS,0.0258,8.46E-05,0.000104331,1,0.01,0.049031931,2.165835582,0.156502167,2.84E-09
Egret/ACSS,636,30/19,0.1456,0.0874,0.4368,1.019,600.5,386.3,986.8,28000,30900,36600,0.0258,0.0319,20,75,304.8,1453,ACSS,0.0258,8.46E-05,0.000104659,1,0.01,0.048747007,2.165750565,0.156506501,2.95E-09
Flamingo/ACSS,666.6,24/7,0.1667,0.1111,0.3333,1,627.9,229.7,857.6,18200,19900,22900,0.0249,0.0308,20,75,304.8,1470,ACSS,0.0249,8.17E-05,0.00010105,1,0.01,0.049019907,2.166158837,0.156430255,8.07E-09
Gannet/ACSS,666.6,26/7,0.1601,0.1245,0.3736,1.014,627.8,288.6,916.4,21700,23400,27300,0.0248,0.0306,20,75,304.8,1480,ACSS,0.0248,8.14E-05,0.000100394,1,0.01,0.048995261,2.165869265,0.156524736,9.73E-09
Stilt/ACSS,715.5,24/7,0.1727,0.1151,0.3453,1.036,673.9,246.5,920.4,19500,21300,24600,0.0232,0.0287,20,75,304.8,1540,ACSS,0.0232,7.61E-05,9.42E-05,1,0.01,0.048415574,2.165447708,0.156535649,1.16E-09
Starling/ACSS,715.5,26/7,0.1659,0.129,0.3871,1.051,673.9,309.8,983.7,23300,25200,29800,0.0231,0.0286,20,75,304.8,1550,ACSS,0.0231,7.58E-05,9.38E-05,1,0.01,0.0480965,2.164966283,0.15647511,1.02E-09
Redwing/ACSS,715.5,30/19,0.1544,0.0927,0.4633,1.081,675.6,434.6,1110.2,30800,34000,39800,0.023,0.0284,20,75,304.8,1570,ACSS,0.023,7.55E-05,9.32E-05,1,0.01,0.047974163,2.164289373,0.156544117,3.64E-09
Cuckoo/ACSS,795,24/7,0.182,0.1213,0.364,1.092,748.8,274,1022.8,21700,23300,26900,0.0209,0.0259,20,75,304.8,1650,ACSS,0.0209,6.86E-05,8.50E-05,1,0.01,0.04743452,2.163961571,0.156534406,3.70E-09
Drake/ACSS,795,26/7,0.1749,0.136,0.408,1.107,748.8,344.2,1093,25900,28000,32600,0.0209,0.0257,20,75,304.8,1662,ACSS,0.0209,6.86E-05,8.43E-05,1,0.01,0.048007144,2.16396085,0.156603162,9.96E-09
Macaw/ACSS,795,42/7,0.1376,0.0764,0.2293,1.055,748.8,108.7,857.5,11800,12600,14300,0.0211,0.0262,20,75,304.8,1621,ACSS,0.0211,6.92E-05,8.60E-05,1,0.01,0.047677378,2.164664129,0.156476343,5.74E-10
Tern/ACSS,795,45/7,0.1329,0.0886,0.2658,1.063,748.8,146.1,894.9,14200,15200,17400,0.021,0.0263,20,75,304.8,1618,ACSS,0.021,6.89E-05,8.63E-05,1,0.01,0.046372028,2.163425997,0.156343684,6.11E-09
Condor/ACSS,795,54/7,0.1213,0.1213,0.364,1.092,748.8,274,1022.8,21700,23300,26900,0.0209,0.0266,20,75,304.8,1618,ACSS,0.0209,6.86E-05,8.73E-05,1,0.01,0.043910749,2.161396504,0.156250628,5.38E-09
Mallard/ACSS,795,30/19,0.1628,0.0977,0.4884,1.139,750.6,482.8,1233.4,34300,37900,44300,0.0207,0.0255,20,75,304.8,1683,ACSS,0.0207,6.79E-05,8.37E-05,1,0.01,0.04730126,2.162976229,0.156607178,9.82E-10
Ruddy/ACSS,900,45/7,0.1414,0.0943,0.2828,1.131,847.7,165.4,1012.1,15800,17000,19200,0.0186,0.0233,20,75,304.8,1755,ACSS,0.0186,6.10E-05,7.64E-05,1,0.01,0.045455917,2.162102917,0.156475973,2.56E-09
Canary/ACSS,900,54/7,0.1291,0.1291,0.3873,1.162,847.7,310.1,1157.8,24600,26400,30500,0.0184,0.0236,20,75,304.8,1756,ACSS,0.0184,6.04E-05,7.74E-05,1,0.01,0.042333484,2.159569257,0.156298611,2.64E-09
Redbird/ACSS,954,24/7,0.1994,0.1329,0.3987,1.196,898.5,328.7,1227.2,26000,28000,32300,0.0174,0.0217,20,75,304.8,1859,ACSS,0.0174,5.71E-05,7.12E-05,1,0.01,0.045440091,2.161400626,0.156478865,3.22E-09
