CodeWord,Size,Stranding,IndDiamAl,IndDiamSt,DiamStlCore,DiamCompleteCable,Weightper1000ftAl,Weightper1000ftStl,Weightper1000ftTotal,Al,Stl,RatedStrength,ResistanceDCLowdegc,ResistanceACHighdegc,LowTemp,HighTemp,MetersperResistanceInterval,AllowableAmpacity,Type,Validated,minfirstderivative,ResistanceACLowdegc,ResistanceACLowdegcMeter,ResistanceACHighdegcMeter,deltas,delta1s,Cs
Bunting,1192.5,45/7,0.1628,0.1085,0.3256,1.302,1123,219,1343,83.67,16.33,32000,0.0144,0.0182,20,75,304.8,1139,ACSR,0,0,0.0144,4.7244094488189e-05,5.97112860892388e-05,1.63863782782854,2,0.257778171141853
Grackle,1192.5,54/19,0.1486,0.0892,0.4458,1.337,1129,402,1531,73.72,26.28,41900,0.0144,0.0184,20,75,304.8,1140,ACSR,0,0,0.0144,4.7244094488189e-05,6.03674540682415e-05,1.62186172594603,2,0.254834872884488
Bittern,1272,45/7,0.1681,0.1121,0.3362,1.345,1198,234,1432,83.67,16.33,34100,0.0135,0.0171,20,75,304.8,1184,ACSR,0,0,0.0135,4.42913385826772e-05,5.61023622047244e-05,1.6107615706909,2,0.254838767213057
Pheasant,1272,54/19,0.1535,0.0921,0.4605,1.381,1204,429,1633,73.71,26.29,43600,0.0135,0.0173,20,75,304.8,1187,ACSR,0,0,0.0135,4.42913385826772e-05,5.6758530183727e-05,1.59328273913861,2,0.254703095821923
Dipper,1351.5,45/7,0.1733,0.1155,0.3466,1.386,1273,248,1521,83.67,16.33,36200,0.0127,0.0162,20,75,304.8,1229,ACSR,0,0,0.0127,4.16666666666667e-05,5.31496062992126e-05,1.58678125486971,2,0.254835069149915
Martin,1351.5,54/19,0.1582,0.0949,0.4746,1.424,1279,456,1735,73.72,26.28,46300,0.0127,0.0163,20,75,304.8,1232,ACSR,0,0,0.0127,4.16666666666667e-05,5.34776902887139e-05,1.56589028640326,2,0.25419589265824
Bobolink,1431,45/7,0.1783,0.1189,0.3566,1.427,1348,263,1611,83.67,16.33,38300,0.012,0.0153,20,75,304.8,1272,ACSR,0,0,0.012,3.93700787401575e-05,5.01968503937008e-05,1.56345596452852,2,0.254030166747614
Lapwing,1590,45/7,0.188,0.1253,0.3759,1.504,1498,292,1790,83.67,16.33,42200,0.0108,0.0139,20,75,304.8,1354,ACSR,0,0,0.0108,3.54330708661417e-05,4.56036745406824e-05,1.5201031243076,2,0.251298067105552
Falcon,1590,54/19,0.1716,0.103,0.5148,1.544,1505,536,2041,73.72,26.28,54500,0.0108,0.014,20,75,304.8,1359,ACSR,0,0,0.0108,3.54330708661417e-05,4.59317585301837e-05,1.49944000275506,2,0.249723995581187
Chukar,1780,84/19,0.1456,0.0874,0.4368,1.602,1685,386,2072,81.35,18.65,51000,0.0097,0.0125,20,75,304.8,1453,ACSR,0,0,0.0097,3.18241469816273e-05,4.1010498687664e-05,1.46221701004072,2,0.249418016596414
