Name,Size,Metal OD,Low Temp ûC,Low Resistance ½/mile,Low Resistance ½/meter,Hi Temp ûC,Hi Resistance ½/mile,Hi Resistance ½/meter,alpha,beta,Type
1081 -  30/7,1081,1.196,25,0.0918,5.7042E-05,75,0.1084,6.73568E-05,5.18846E-05,2.06296E-07,ACAR
1081 - 24/13,1081,1.196,25,0.0939,5.83469E-05,75,0.1105,6.86617E-05,5.31895E-05,2.06296E-07,ACAR
1109 -  18/19,1109,1.212,25,0.0937,5.82226E-05,75,0.1100,6.8351E-05,5.31584E-05,2.02568E-07,ACAR
1109 -  30/7,1109,1.212,25,0.0897,5.57371E-05,75,0.1058,6.57412E-05,5.07351E-05,2.00082E-07,ACAR
1109 - 24/13,1109,1.212,25,0.0917,5.69799E-05,75,0.1078,6.6984E-05,5.19778E-05,2.00082E-07,ACAR
1172 -  18/19,1172,1.246,25,0.0891,5.53643E-05,75,0.1044,6.48713E-05,5.06108E-05,1.9014E-07,ACAR
1172 -  30/7,1172,1.246,25,0.0852,5.2941E-05,75,0.1004,6.23858E-05,4.82185E-05,1.88897E-07,ACAR
1172 - 24/13,1172,1.246,25,0.0871,5.41216E-05,75,0.1024,6.36286E-05,4.93681E-05,1.9014E-07,ACAR
1172 - 33/4,1172,1.246,25,0.0843,5.23817E-05,75,0.0995,6.18266E-05,4.76593E-05,1.88897E-07,ACAR
1197 -  18/19,1197,1.259,25,0.0873,5.42458E-05,75,0.1023,6.35664E-05,4.95855E-05,1.86412E-07,ACAR
1197 -  30/7,1197,1.259,25,0.0836,5.19468E-05,75,0.0985,6.12052E-05,4.73175E-05,1.85169E-07,ACAR
1197 - 24/13,1197,1.259,25,0.0854,5.30652E-05,75,0.1003,6.23237E-05,4.8436E-05,1.85169E-07,ACAR
1280 -  18/19,1280,1.302,25,0.0821,5.10147E-05,75,0.0961,5.97139E-05,4.66651E-05,1.73984E-07,ACAR
1280 -  30/7,1280,1.302,25,0.0787,4.8902E-05,75,0.0925,5.7477E-05,4.46146E-05,1.71499E-07,ACAR
1280 - 24/13,1280,1.302,25,0.0803,4.98962E-05,75,0.0942,5.85333E-05,4.55777E-05,1.72742E-07,ACAR
1362 -  42/19,1362,1.345,25,0.0756,4.69758E-05,75,0.0886,5.50536E-05,4.29369E-05,1.61557E-07,ACAR
1362 - 54/7,1362,1.345,25,0.0737,4.57952E-05,75,0.0888,5.51779E-05,4.11038E-05,1.87655E-07,ACAR
1703 -  42/19,1703,1.504,25,0.0622,3.86494E-05,75,0.0723,4.49252E-05,3.55115E-05,1.25517E-07,ACAR
1703 - 48/13,1703,1.504,25,0.0614,3.81523E-05,75,0.0715,4.44282E-05,3.50144E-05,1.25517E-07,ACAR
1703 - 54/7,1703,1.504,25,0.0607,3.77173E-05,75,0.0725,4.50495E-05,3.40512E-05,1.46644E-07,ACAR
1933 -  42/19,1933,1.602,25,0.0559,3.47347E-05,75,0.0647,4.02028E-05,3.20007E-05,1.09362E-07,ACAR
1933 - 48/13,1933,1.602,25,0.0553,3.43619E-05,75,0.0641,3.983E-05,3.16279E-05,1.09362E-07,ACAR
1933 - 54/7,1933,1.602,25,0.0546,3.3927E-05,75,0.0648,4.0265E-05,3.0758E-05,1.2676E-07,ACAR
2267 -  42/19,2267,1.735,25,0.0496,3.08201E-05,75,0.0571,3.54804E-05,2.84899E-05,9.32059E-08,ACAR
2267 - 48/13,2267,1.735,25,0.0491,3.05094E-05,75,0.0565,3.51076E-05,2.82103E-05,9.19632E-08,ACAR
2267 - 54/7,2267,1.735,25,0.0486,3.01987E-05,75,0.0571,3.54804E-05,2.75579E-05,1.05633E-07,ACAR
2338 -  42/19,2338,1.762,25,0.0484,3.00744E-05,75,0.0556,3.45483E-05,2.78375E-05,8.94777E-08,ACAR
2338 - 48/13,2338,1.762,25,0.0479,2.97638E-05,75,0.0551,3.42376E-05,2.75268E-05,8.94777E-08,ACAR
2338 - 54/7,2338,1.762,25,0.0474,2.94531E-05,75,0.0557,3.46105E-05,2.68744E-05,1.03148E-07,ACAR
2493 - 54/37,2493,1.821,25,0.045936,2.85434E-05,75,0.0528,3.28085E-05,2.64108E-05,8.5302E-08,ACAR
,611.000,0.858,25,0.149424,9.2848E-05,75,0.17952,0.000111549,8.34976E-05,3.74017E-07,ACCC
,713.000,0.927,25,0.128304,7.97246E-05,75,0.154176,9.58008E-05,7.16865E-05,3.21523E-07,ACCC
,816.000,0.99,25,0.112992,7.02101E-05,75,0.135168,8.39897E-05,6.33204E-05,2.75591E-07,ACCC
,1020.000,1.108,25,0.090816,5.64306E-05,75,0.108768,6.75855E-05,5.08531E-05,2.23098E-07,ACCC
,1222.000,1.196,25,0.077088,4.79004E-05,75,0.091872,5.70868E-05,4.33072E-05,1.83727E-07,ACCC
,1572.000,1.345,25,0.061248,3.80578E-05,75,0.072864,4.52757E-05,3.44489E-05,1.44357E-07,ACCC
,1966.000,1.504,25,0.0510048,3.1693E-05,75,0.059664,3.70736E-05,2.90027E-05,1.07612E-07,ACCC
,2242.000,1.602,25,0.0458832,2.85106E-05,75,0.053328,3.31366E-05,2.61976E-05,9.25199E-08,ACCC
Linnet,336.4,0.659,25,0.2647,0.000164477,75,0.3181,0.000197659,0.000147887,6.63626E-07,ACSSTW
Oriole,336.4,0.693,25,0.2622,0.000162924,75,0.3151,0.000195795,0.000146489,6.57412E-07,ACSSTW
Flicker,477,0.776,25,0.1877,0.000116632,75,0.2255,0.00014012,0.000104888,4.69758E-07,ACSSTW
Hawk,477,0.789,25,0.18691,0.000116141,75,0.22493,0.000139765,0.000104328,4.72492E-07,ACSSTW
Hen,477,0.825,25,0.1852,0.000115078,75,0.2225,0.000138255,0.00010349,4.63544E-07,ACSSTW
Parakeet,556.5,0.835,25,0.1612,0.000100165,75,0.1935,0.000120236,9.01301E-05,4.01407E-07,ACSSTW
Dove,556.5,0.852,25,0.15998,9.94072E-05,75,0.19219,0.000119422,8.94E-05,4.00288E-07,ACSSTW
Calumet,565.3,0.858,25,0.1581,9.8239E-05,75,0.1898,0.000117937,8.83903E-05,3.9395E-07,ACSSTW
Mohawk,571.7,0.846,25,0.1570,9.75555E-05,75,0.1884,0.000117067,8.78E-05,3.90222E-07,ACSSTW
Rook,636,0.890,25,0.1413,8.78E-05,75,0.1696,0.000105385,7.90075E-05,3.51697E-07,ACSSTW
Grosbeak,636,0.908,25,0.14045,8.72718E-05,75,0.16843,0.000104658,7.85788E-05,3.4772E-07,ACSSTW
Scoter,636,0.953,25,0.1393,8.65572E-05,75,0.1672,0.000103894,7.78891E-05,3.46726E-07,ACSSTW
Oswego,664.8,0.927,25,0.1347,8.36989E-05,75,0.1617,0.000100476,7.53104E-05,3.35541E-07,ACSSTW
Mystic,666.6,0.913,25,0.1349,8.38232E-05,75,0.1619,0.0001006,7.54347E-05,3.35541E-07,ACSSTW
Wabash,762.8,0.99,25,0.1177,7.31356E-05,75,0.1411,8.76757E-05,6.58655E-05,2.90802E-07,ACSSTW
Maumee,768.2,0.977,25,0.1174,7.29492E-05,75,0.1407,8.74271E-05,6.57102E-05,2.8956E-07,ACSSTW
Tern,795,0.960,25,0.1147,7.12715E-05,75,0.1373,8.53145E-05,6.42499E-05,2.8086E-07,ACSSTW
Puffin,795,0.980,25,0.1139,7.07744E-05,75,0.1365,8.48174E-05,6.37528E-05,2.8086E-07,ACSSTW
